filename,spanning_pct,rows_count,column_count,total_cells,aspect_ratio,width_added,height_added,is_complex,area_added
000009341016000049_cvx-123115x10kdoc-t156,0.024725274725274724,28,13,355,1.1539863325740318,1266,169,1,-7272243
000002134416000050_a2015123110-k-t81,0.35064935064935066,11,7,50,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t23,0.07023411371237458,23,13,278,1.555896805896806,1266,452,1,-8708454
000003799620000010_f1231201910-k-t212,0.3,12,10,84,2.792723263506064,0,179,1,-909347
000003799620000010_f1231201910-k-t402,0.26666666666666666,3,5,11,8.015822784810126,0,475,1,-2406350
000003408819000010_xom10k2018-t109,0.05,10,4,38,3.0299043062200957,0,215,1,-1089190
000007085816000166_bac-331201610xq-t148,0.4,24,5,72,1.37289972899729,1266,344,1,-8158793
000007085816000166_bac-331201610xq-t563,0.3333333333333333,26,6,104,1.3887061403508771,1266,354,1,-8211986
000003799620000010_f1231201910-k-t299,0.3625,8,10,51,3.9271317829457364,0,310,1,-1572993
000007085816000166_bac-331201610xq-t151,0.3515151515151515,33,5,107,1.0861921097770155,1266,100,1,-6925222
000007085816000166_bac-331201610xq-t461,0.33636363636363636,10,11,73,2.4736328125,0,121,1,-612986
000007085816000166_bac-331201610xq-t115,0.41818181818181815,11,5,32,3.0118906064209274,0,212,1,-1076525
000002134416000050_a2015123110-k-t6,0.0,29,3,87,1.223671497584541,1266,231,0,-7588868
000002134416000050_a2015123110-k-t276,0.0,4,5,20,6.630890052356021,0,442,0,-2239172
000002134416000050_a2015123110-k-t388,0.0,6,2,12,3.832072617246596,0,302,0,-1532465
000003799620000010_f1231201910-k-t282,0.4358974358974359,6,11,44,4.8101761252446185,0,359,1,-1764844
000007085816000166_bac-331201610xq-t245,0.36363636363636365,11,9,63,3.0118906064209274,0,212,1,-1076525
000002134416000050_a2015123110-k-t279,0.21428571428571427,4,7,22,6.630890052356021,0,442,1,-2239172
